app_id,start_date,month,pre_post_july_2024,title,institution,website_url,HIGH_SENSITIVITY,LOWER_SENSITIVITY_COMPARISON,LOW_STRICT,hs_wes_wgs_sequence,hs_s3_direct,hs_s3_text,hs_o2_field,hs_restricted_field,linked_field_count,linked_s3_field_count,linked_s3_field_count_timing_conservative,linked_o2_field_count,linked_restricted_field_count,field_debut_after_project_start,field_debut_after_project_start_ids,control_layer,control_evidence_type,control_matched_term,control_inferred_product,previous_classification,previous_confidence,legacy_route_modalities,already_rap_modalities,hs_sequence_product_term,hs_sequence_product_source,hs_sequence_product_excerpt,hs_s3_text_term,hs_s3_text_source,hs_s3_text_source_field_ids,hs_s3_text_source_field_titles,hs_s3_text_family,hs_s3_text_excerpt,evidence_source,evidence_detail,classification_reason
32285,2018-10-10,2018-10,pre_july_2024,Detecting pleiotropic effects through integration of omics data,Yale University,https://www.ukbiobank.ac.uk/projects/detecting-pleiotropic-effects-through-integration-of-omics-data/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,exome data / exome variants,Whole exome sequencing data,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|PHYSICAL_MEASURES,,genome sequence/data,schema27_notes,...sh these goals by using the UK Biobank data and a second dataset with gene expression and genome sequence data on a small set of subjects. We will use statistical methods to detect shared genetic effects and perform biological validation in order to bring about a be...,,,,,,,explicit WES/WGS or sequence-product evidence,schema27_notes=genome sequence/data,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
32292,2018-07-02,2018-07,pre_july_2024,APOE-lifestyle interactions on age-related health outcomes in the UK Biobank population,Leiden University Medical Centre,https://www.ukbiobank.ac.uk/projects/apoe-lifestyle-interactions-on-age-related-health-outcomes-in-the-uk-biobank-population/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32339,2018-12-10,2018-12,pre_july_2024,"Investigation of the epistatic effects between the mitochondria, the Y-chromosome, and the nuclear genome in relation to health-related traits",University of Central Florida,https://www.ukbiobank.ac.uk/projects/investigation-of-the-epistatic-effects-between-the-mitochondria-the-y-chromosome-and-the-nuclear-genome-in-relation-to-health-related-traits/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32341,2015-09-01,2015-09,pre_july_2024,UK Biobank Smoking-related Cancer Project,University of Liverpool,https://www.ukbiobank.ac.uk/projects/uk-biobank-smoking-related-cancer-project/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=ENVIRONMENT_GEOSPATIAL|QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
32360,2018-09-03,2018-09,pre_july_2024,Study of the genetic basis of mitral valve prolapse using meta-analysis of GWAS,INSERM,https://www.ukbiobank.ac.uk/projects/study-of-the-genetic-basis-of-mitral-valve-prolapse-using-meta-analysis-of-gwas/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32466,2018-03-20,2018-03,pre_july_2024,Genetic Determinants of Healthy Decision Making,University of Utah,https://www.ukbiobank.ac.uk/projects/genetic-determinants-of-healthy-decision-making/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32497,2018-04-03,2018-04,pre_july_2024,Numerical abnormalities and structural rearrangements of the Y and X chromosomes and predisposition to complex diseases,University of Manchester,https://www.ukbiobank.ac.uk/projects/numerical-abnormalities-and-structural-rearrangements-of-the-y-and-x-chromosomes-and-predisposition-to-complex-diseases/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32506,2018-03-15,2018-03,pre_july_2024,"Genome Wide Association Studies of Colorectal Cancer, Uterine Leiomyoma and Other Tumor Types",University of Helsinki,https://www.ukbiobank.ac.uk/projects/genome-wide-association-studies-of-colorectal-cancer-uterine-leiomyoma-and-other-tumor-types/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32568,2015-12-01,2015-12,pre_july_2024,Phenomewide Heritability Analysis,Massachusetts General Hospital,https://www.ukbiobank.ac.uk/projects/phenomewide-heritability-analysis/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32575,2018-11-22,2018-11,pre_july_2024,Deep learning for predictive modelling of Alzheimer?s disease related dementia,Seoul National University,https://www.ukbiobank.ac.uk/projects/deep-learning-for-predictive-modelling-of-alzheimers-disease-related-dementia/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING|LINKED_HEALTH_RECORDS|QUESTIONNAIRES_ASSESSMENT,,,,,brain imaging,schema27_notes,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 31219; 31220; 31221; 31222; 31223; 31224; 31225; 31226; 31227; 31228; 31229; 31230; 31231; 31232; 31233; 31234; 31235; 31236; 31237; 31238; 31239; 31240; 31241; 31242; 31243; 31244; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +62 more,Brain MRI/imaging,"...egenerative diseases (e.g., AD). Secondly, we aim to develop deep learning algorithms for brain imaging markers that are associated with the suggested factors and predict risk for AD. Thirdly, we will test the predictive validity and generalizability of the initial...",S3-derived application text,schema27_notes term=brain imaging field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
32677,2016-05-01,2016-05,pre_july_2024,Methods for massive GWAS,Microsoft Corporation,https://www.ukbiobank.ac.uk/projects/methods-for-massive-gwas/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32683,2018-10-26,2018-10,pre_july_2024,Combined effect of the genetic and lifestyle determinants of metabolic syndrome on cardiometabolic risk,University of Copenhagen,https://www.ukbiobank.ac.uk/projects/combined-effect-of-the-genetic-and-lifestyle-determinants-of-metabolic-syndrome-on-cardiometabolic-risk/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,broader_contextual_sequence_evidence,gene burden / variant burden / collapsing analysis,Likely WES/WGS rare variant burden analysis,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,WES,control_inferred_product,Likely WES/WGS rare variant burden analysis,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=WES,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
32696,2018-06-25,2018-06,pre_july_2024,Non-standard employment schedule resilience: A multifactorial approach,University of Oxford,https://www.ukbiobank.ac.uk/projects/non-standard-employment-schedule-resilience-a-multifactorial-approach/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32743,2018-04-27,2018-04,pre_july_2024,Thyroid signalling and common age-related diseases: a Mendelian Randomisation study and thyroid pathway analysis,Leiden University Medical Centre,https://www.ukbiobank.ac.uk/projects/thyroid-signalling-and-common-age-related-diseases-a-mendelian-randomisation-study-and-thyroid-pathway-analysis/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|IMAGING|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32770,2018-07-27,2018-07,pre_july_2024,Refining polygenic score performance in diverse populations,Stanford University,https://www.ukbiobank.ac.uk/projects/refining-polygenic-score-performance-in-diverse-populations/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|PHYSICAL_MEASURES,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
32961,2018-06-12,2018-06,pre_july_2024,"Learning a Lexicon of Human Movements: Automated, data-driven detection of elementary movement units for objective, accurate and interpretable analysis of physical activities and human behavior.",Georgia Institute of Technology,https://www.ukbiobank.ac.uk/projects/learning-a-lexicon-of-human-movements-automated-data-driven-detection-of-elementary-movement-units-for-objective-accurate-and-interpretable-analysis-of-physical-activities-and-human-behavior/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
32974,2019-01-09,2019-01,pre_july_2024,"Rare, functionally validated, nonsense and missense mutations and human anthropometric and metabolic traits",University of Cambridge,https://www.ukbiobank.ac.uk/projects/rare-functionally-validated-nonsense-and-missense-mutations-and-human-anthropometric-and-metabolic-traits/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C3,broader_contextual_sequence_evidence,nonsense and missense / rare functional variants,Likely WES/WGS protein-coding variant analysis,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|PHYSICAL_MEASURES,,genome sequence/data,stage3_source_text_evidence,"...on of critical metabolic pathways, leading to conditions such as obesity and/or diabetes. Genome sequencing studies are increasingly identifying such rare mutations. Using knowledge about the precise structure and fun...",,,,,,,explicit WES/WGS or sequence-product evidence,stage3_source_text_evidence=genome sequence/data,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
32990,2017-10-10,2017-10,pre_july_2024,Identifying correlations between genetic ancestry and clinically relevant phenotypes.,"Encompass Bioscience, Inc.",https://www.ukbiobank.ac.uk/projects/identifying-correlations-between-genetic-ancestry-and-clinically-relevant-phenotypes/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,PHYSICAL_MEASURES,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=PHYSICAL_MEASURES,only strict low-granularity legacy modality evidence and no high flags
33002,2018-06-29,2018-06,pre_july_2024,Development of a computational method to predict disease risk,Samsung Medical Center,https://www.ukbiobank.ac.uk/projects/development-of-a-computational-method-to-predict-disease-risk/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33018,2019-03-26,2019-03,pre_july_2024,Genetics of reserve capactiy and underlying functional brain differences.,Ludwig Maximilian University of Munich,https://www.ukbiobank.ac.uk/projects/genetics-of-reserve-capactiy-and-underlying-functional-brain-differences/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|IMAGING|QUESTIONNAIRES_ASSESSMENT,,,,,fMRI,schema27_notes,20217; 20225; 20227; 20249; 1020217; 1020225; 1020227; 1020249; 2020217; 2020225; 2020227; 2020249,Functional brain images - task - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,A major aim of the UK Biobank is to better understand the genetics and brain changes underlying dementia and other serious disease for the improvement of diagnosis and treatment of suc...,S3-derived application text,schema27_notes term=fMRI field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33073,2018-03-27,2018-03,pre_july_2024,"Studying mental health via research domain criteria, neuroimaging and convolutional neural networks",Charite - Universitatsmedizin Berlin,https://www.ukbiobank.ac.uk/projects/studying-mental-health-via-research-domain-criteria-neuroimaging-and-convolutional-neural-networks/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING|LINKED_HEALTH_RECORDS,,,,,functional MRI,schema27_notes,20217; 20225; 20227; 20249; 1020217; 1020225; 1020227; 1020249; 2020217; 2020225; 2020227; 2020249,Functional brain images - task - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,...olutional neural networks (CNNs) for characterizing mental health based on structural and functional MRI data. Main research questions: How well do CNN-derived MRI representations characterize mental health? And how can we visualize and interpret these CNN-derived MRI r...,S3-derived application text,schema27_notes term=functional MRI field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33087,2018-09-03,2018-09,pre_july_2024,Phenome-Wide Association Studies to inform therapeutic development at Novartis Institutes for Biomedical Research,"Novartis Institutes for BioMedical Research, Inc.",https://www.ukbiobank.ac.uk/projects/phenome-wide-association-studies-to-inform-therapeutic-development-at-novartis-institutes-for-biomedical-research/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING|QUESTIONNAIRES_ASSESSMENT,,,,,liver imaging,schema27_notes,20203; 20204; 20254; 1020203; 1020204; 1020254; 2020203; 2020204; 2020254,Liver imaging - gradient echo - DICOM; Liver Imaging - T1 ShMoLLI - DICOM; Liver imaging - IDEAL protocol - DICOM; EMBARGOED UNLINKED : Liver imaging - gradient echo - DICOM; EMBARGOED UNLINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED UNLINKED : Liver imaging - IDEAL protocol - DICOM; EMBARGOED LINKED : Liver imaging - gradient echo - DICOM; EMBARGOED LINKED : Liver Imaging - T1 ShMoLLI - DICOM; EMBARGOED LINKED : Liver imaging - IDEAL protocol - DICOM,Liver imaging,"...ase, activity measured by accelerometers, and use machine learning to examine retinal and liver imaging. Over the three year study period, these results will contribute to drug development by using human data to prioritize targets and their primary indications, und...",S3-derived application text,schema27_notes term=liver imaging field_family=Liver imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33127,2018-04-23,2018-04,pre_july_2024,Methods for large-scale medical and population genetic data,"University of California, Los Angeles",https://www.ukbiobank.ac.uk/projects/methods-for-large-scale-medical-and-population-genetic-data/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33162,2018-06-25,2018-06,pre_july_2024,Exploring Selection in the UK Biobank,University of Oxford,https://www.ukbiobank.ac.uk/projects/exploring-selection-in-the-uk-biobank/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33170,2018-09-03,2018-09,pre_july_2024,Magnetic resonance image properties of the substantia nigra and other brain regions among smokers,University of Oxford,https://www.ukbiobank.ac.uk/projects/magnetic-resonance-image-properties-of-the-substantia-nigra-and-other-brain-regions-among-smokers/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,IMAGING|QUESTIONNAIRES_ASSESSMENT,,,,,brain MRI,schema27_notes,20215; 20216; 20217; 20218; 20219; 20220; 20221; 20225; 20227; 20249; 20250; 20251; 20252; 20253; 20266; 26300; 1020215; 1020216; 1020217; 1020218; 1020219; 1020220; 1020221; 1020225; 1020227; 1020249; 1020250; 1020251; 1020252; 1020253; 1020266; 1026300; 2020215; 2020216; 2020217; 2020218; 2020219; 2020220; 2020221; 2020225; 2020227; 2020249; 2020250; 2020251; 2020252; 2020253; 2020266; 2026300,Scout images for brain scans - DICOM; T1 structural brain images - DICOM; Functional brain images - task - DICOM; Multiband diffusion brain images - DICOM; Susceptibility weighted brain images - DICOM; T2 FLAIR structural brain images - DICOM; T2/PD brain images - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; Multiband diffusion brain images - NIFTI; Susceptibility weighted brain images - NIFTI; ... +36 more,Brain MRI/imaging,"The substantia nigra is a small pigmented region of the brain, and people diagnosed with Parkinson's disease are known to have a lower level of pigments in this region. Studies have found that smokers seem less likely to develop Pa...",S3-derived application text,schema27_notes term=brain MRI field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33221,2018-06-25,2018-06,pre_july_2024,"Phenotyping cardiovascular disease using deep learning: Correlation of medical images, biomarkers and genetics to clinical outcome.",SAHMRI,https://www.ukbiobank.ac.uk/projects/phenotyping-cardiovascular-disease-using-deep-learning-correlation-of-medical-images-biomarkers-and-genetics-to-clinical-outcome/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|IMAGING,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33266,2018-07-04,2018-07,pre_july_2024,The role of cardiorespiratory fitness and physical behaviours in protecting against premature mortality,University of Leicester,https://www.ukbiobank.ac.uk/projects/the-role-of-cardiorespiratory-fitness-and-physical-behaviours-in-protecting-against-premature-mortality/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|PHYSICAL_MEASURES|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33278,2019-02-22,2019-02,pre_july_2024,Statistical Analysis of UK Biobank Imaging Database,Johns Hopkins University,https://www.ukbiobank.ac.uk/projects/statistical-analysis-of-uk-biobank-imaging-database/,1,0,0,0,0,1,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|IMAGING,,,,,fMRI,schema27_notes,20217; 20225; 20227; 20249; 1020217; 1020225; 1020227; 1020249; 2020217; 2020225; 2020227; 2020249,Functional brain images - task - DICOM; Functional brain images - resting - DICOM; Functional brain images - resting - NIFTI; Functional brain images - task - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - DICOM; EMBARGOED UNLINKED : Functional brain images - resting - NIFTI; EMBARGOED UNLINKED : Functional brain images - task - NIFTI; EMBARGOED LINKED : Functional brain images - task - DICOM; EMBARGOED LINKED : Functional brain images - resting - DICOM; EMBARGOED LINKED : Functional brain images - resting - NIFTI; EMBARGOED LINKED : Functional brain images - task - NIFTI,Brain MRI/imaging,"In this project we seek to address four different aims. First, we seek to develop Bayesian statistical models for use on data from small-sampled studies, with priors (related to resting-state brain networks...",S3-derived application text,schema27_notes term=fMRI field_family=Brain MRI/imaging,application text matched high-precision term derived from the 199 s3 Schema 1 fields
33297,2018-07-02,2018-07,pre_july_2024,Quantifying the role of linkage disequilibrium in mapping genetic regions within and across traits.,"University of California, Los Angeles",https://www.ukbiobank.ac.uk/projects/quantifying-the-role-of-linkage-disequilibrium-in-mapping-genetic-regions-within-and-across-traits/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33307,2018-10-10,2018-10,pre_july_2024,Sex-specific Genetic Determinants of Cardiometabolic Traits,"University of California, Los Angeles",https://www.ukbiobank.ac.uk/projects/sex-specific-genetic-determinants-of-cardiometabolic-traits/,0,1,0,0,0,0,1,1,1,0,0,1,1,1,20142,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,o2_field_ids=20142; restricted_field_ids=20142,no identified high evidence under the observable proxy
33395,2018-02-22,2018-02,pre_july_2024,Comprehensive genome-wide association study of different forms of hernia,Statens Serum Institut,https://www.ukbiobank.ac.uk/projects/comprehensive-genome-wide-association-study-of-different-forms-of-hernia/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION|LINKED_HEALTH_RECORDS,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33400,2018-11-23,2018-11,pre_july_2024,Daily patterns of physical activity and syndromes of ageing. Relationship between physical inactivity and markers of geriatric syndromes.,Glasgow Caledonian University,https://www.ukbiobank.ac.uk/projects/daily-patterns-of-physical-activity-and-syndromes-of-ageing-relationship-between-physical-inactivity-and-markers-of-geriatric-syndromes/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
33463,2020-03-04,2020-03,pre_july_2024,Polygenic effects of Alzheimer's Disease associated genetic risk factors in the early life,Icahn School of Medicine at Mount Sinai,https://www.ukbiobank.ac.uk/projects/polygenic-effects-of-alzheimers-disease-associated-genetic-risk-factors-in-the-early-life/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|GENOTYPING_IMPUTATION|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33492,2018-09-27,2018-09,pre_july_2024,Information-Theoretic Inference of Complex Multivariable Associations: Improving the Genetic Discrimination of Type 1/Type 2 Diabetes,Pacific Northwest Research Institute,https://www.ukbiobank.ac.uk/projects/information-theoretic-inference-of-complex-multivariable-associations-improving-the-genetic-discrimination-of-type-1-type-2-diabetes/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33503,2018-04-24,2018-04,pre_july_2024,Understanding the prevalence of multimorbidity in people of later working age and the impact of multimorbidity definition on characteristics of the cohort,University of Birmingham,https://www.ukbiobank.ac.uk/projects/understanding-the-prevalence-of-multimorbidity-in-people-of-later-working-age-and-the-impact-of-multimorbidity-definition-on-characteristics-of-the-cohort/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
33519,2018-07-17,2018-07,pre_july_2024,Phenome-wide association study of the C282Y mutation in HFE,Statens Serum Institut,https://www.ukbiobank.ac.uk/projects/phenome-wide-association-study-of-the-c282y-mutation-in-hfe/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,BIOMARKERS_ASSAYS|GENOTYPING_IMPUTATION|LINKED_HEALTH_RECORDS|QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33542,2018-07-03,2018-07,pre_july_2024,Risk factors for cardiovascular disease in people with schizophrenia,University of Manchester,https://www.ukbiobank.ac.uk/projects/risk-factors-for-cardiovascular-disease-in-people-with-schizophrenia/,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,MEDIUM,QUESTIONNAIRES_ASSESSMENT,,,,,,,,,,,Stage 3 low-granularity legacy modality,legacy_modalities=QUESTIONNAIRES_ASSESSMENT,only strict low-granularity legacy modality evidence and no high flags
33557,2019-04-26,2019-04,pre_july_2024,D+ART: The diet and arthritis data project,University of East Anglia,https://www.ukbiobank.ac.uk/projects/dart-the-diet-and-arthritis-data-project/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33561,2018-11-05,2018-11,pre_july_2024,Genetic and environmental causes of psychotic experiences in the community in UK Biobank,"Birkbeck, University of London",https://www.ukbiobank.ac.uk/projects/genetic-and-environmental-causes-of-psychotic-experiences-in-the-community-in-uk-biobank/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,UNCLEAR,LOW,,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
33601,2018-02-22,2018-02,pre_july_2024,Dissecting the genetic architecture of neurodegenerative diseases,National Institute on Aging,https://www.ukbiobank.ac.uk/projects/dissecting-the-genetic-architecture-of-neurodegenerative-diseases/,1,0,0,1,0,0,0,0,0,0,0,0,0,0,,C6,explicit_sequence_data_wording,whole genome sequencing / whole-genome sequence,Whole genome sequencing data,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,whole genome sequencing,control_inferred_product,Whole genome sequencing data,,,,,,,explicit WES/WGS or sequence-product evidence,control_inferred_product=whole genome sequencing,"concrete WES/WGS, sequence data, or sequence-product term in observable evidence"
33672,2017-06-15,2017-06,pre_july_2024,"Association Studies of Infertility, Cardiovascular Diseases, and Type 2 Diabetes","University of California, Berkeley",https://www.ukbiobank.ac.uk/projects/association-studies-of-infertility-cardiovascular-diseases-and-type-2-diabetes/,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,NEWLY_RAP_BOUND,HIGH,GENOTYPING_IMPUTATION,,,,,,,,,,,lower-sensitivity comparison complement,,no identified high evidence under the observable proxy
